% Model:              basic_detector.mph
% Version:            COMSOL 5.2.0.220
% Date:               Feb 19 2020, 21:11
% Dimension:          3
% Nodes:              20038
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        cm
% x                       y                        z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
1.734723475976807E-18     0.8078886409773981       1.9800000000000009       0                        0                        0                        0
0                         0.8205938465038247       1.955213126596605        0                        0                        0                        0
6.938893903907228E-18     0.7607121215371575       1.8500000000000005       0                        0                        0                        0
-6.938893903907228E-18    0.7355926204200517       1.9253623194285265       0                        0                        0                        0
-6.938893903907228E-18    0.8521737585200162       1.8500000000000005       0                        0                        0                        0
0                         1.117933871564857        1.980000000000001        0                        0                        0                        0
1.734723475976807E-18     1.1077804695951547       1.9623789704580348       0                        0                        0                        0
0                         1.0935658020567887       1.9800000000000009       0                        0                        0                        0
1.734723475976807E-18     1.142446472015334        1.9800000000000009       0                        0                        0                        0
1.734723475976807E-18     1.122575645533133        1.9656180588883752       0                        0                        0                        0
0                         1.1294224908882096       1.8500000000000005       0                        0                        0                        0
0                         1.2599057035687582       1.8961105842473818       0                        0                        0                        0
1.0408340855860843E-17    1.250935741704168        1.9800000000000009       0                        0                        0                        0
0                         1.0078012784198624       1.9132097099861591       0                        0                        0                        0
0                         1.041818194226265        1.8500000000000005       0                        0                        0                        0
3.469446951953614E-18     0.9593253756114914       1.8500000000000005       0                        0                        0                        0
0                         0.9025073215963373       1.8500000000000003       0                        0                        0                        0
0                         0.9194813606544889       1.889159449938654        0                        0                        0                        0
-6.938893903907228E-18    0.9749323945940314       1.9800000000000009       0                        0                        0                        0
0                         0.23076145957476155      1.8500000000000005       0                        0                        0                        0
-1.734723475976807E-18    0.23768022604596845      1.8601671109224696       0                        0                        0                        0
0                         0.2482229776021779       1.85                     0                        0                        0                        0
0                         0.2254556884216358       1.8666030636279736       0                        0                        0                        0
-1.734723475976807E-18    0.262909571414053        1.8725367711158125       0                        0                        0                        0
-1.734723475976807E-18    0.24290453165138454      1.8908594529319365       0                        0                        0                        0
1.0408340855860843E-17    0.4298368796982893       1.980000000000001        0                        0                        0                        0
6.938893903907228E-18     0.37868556454997826      1.9800000000000009       0                        0                        0                        0
-3.469446951953614E-18    0.29637904091106204      1.9800000000000009       0                        0                        0                        0
0                         0.10356936868795237      1.8788926993069577       0                        0                        0                        0
3.469446951953614E-18     0.10945026563334942      1.8500000000000003       0                        0                        0                        0
0                         0.18237908277118656      1.9800000000000009       0                        0                        0                        0
0                         0.09814009512775748      1.9800000000000009       0                        0                        0                        0
